"Date(UTC)","Value"
"6/8/2020 12:11:00 AM","101700"
"6/8/2020 12:12:00 AM","101681"
"6/8/2020 12:13:00 AM","101747"
"6/8/2020 12:14:00 AM","101541"
"6/8/2020 12:15:00 AM","101280"
"6/8/2020 12:16:00 AM","101592"
"6/8/2020 12:17:00 AM","101388"
"6/8/2020 12:18:00 AM","101250"
"6/8/2020 12:19:00 AM","101317"
"6/8/2020 12:20:00 AM","101533"
"6/8/2020 12:21:00 AM","101311"
"6/8/2020 12:22:00 AM","101254"
"6/8/2020 12:23:00 AM","101064"
"6/8/2020 12:24:00 AM","101106"
"6/8/2020 12:25:00 AM","101231"
"6/8/2020 12:26:00 AM","101300"
"6/8/2020 12:27:00 AM","101282"
"6/8/2020 12:28:00 AM","101378"
"6/8/2020 12:29:00 AM","101498"
"6/8/2020 12:30:00 AM","101158"
"6/8/2020 12:31:00 AM","101402"
"6/8/2020 12:32:00 AM","101707"
"6/8/2020 12:33:00 AM","102310"
"6/8/2020 12:34:00 AM","101839"
"6/8/2020 12:35:00 AM","101754"
"6/8/2020 12:36:00 AM","101873"
"6/8/2020 12:37:00 AM","101721"
"6/8/2020 12:38:00 AM","101803"
"6/8/2020 12:39:00 AM","101691"
"6/8/2020 12:40:00 AM","102139"
"6/8/2020 12:41:00 AM","102151"
"6/8/2020 12:42:00 AM","102068"
"6/8/2020 12:43:00 AM","101977"
"6/8/2020 12:44:00 AM","101858"
"6/8/2020 12:45:00 AM","102269"
"6/8/2020 12:46:00 AM","102392"
"6/8/2020 12:47:00 AM","102350"
"6/8/2020 12:48:00 AM","102489"
"6/8/2020 12:49:00 AM","102445"
"6/8/2020 12:50:00 AM","102379"
"6/8/2020 12:51:00 AM","102193"
"6/8/2020 12:52:00 AM","102259"
"6/8/2020 12:53:00 AM","102178"
"6/8/2020 12:54:00 AM","102420"
"6/8/2020 12:55:00 AM","102526"
"6/8/2020 12:56:00 AM","102755"
"6/8/2020 12:57:00 AM","102731"
"6/8/2020 12:58:00 AM","103025"
"6/8/2020 12:59:00 AM","102994"
"6/8/2020 1:00:00 AM","103407"
"6/8/2020 1:01:00 AM","103469"
"6/8/2020 1:02:00 AM","103231"
"6/8/2020 1:03:00 AM","103370"
"6/8/2020 1:04:00 AM","103458"
"6/8/2020 1:05:00 AM","103236"
"6/8/2020 1:06:00 AM","103331"
"6/8/2020 1:07:00 AM","103444"
"6/8/2020 1:08:00 AM","99752"
"6/8/2020 1:09:00 AM","100133"
"6/8/2020 1:10:00 AM","100452"
"6/8/2020 1:11:00 AM","100220"
"6/8/2020 1:12:00 AM","99801"
"6/8/2020 1:13:00 AM","100092"
"6/8/2020 1:14:00 AM","100086"
"6/8/2020 1:15:00 AM","100205"
"6/8/2020 1:16:00 AM","100491"
"6/8/2020 1:17:00 AM","100129"
"6/8/2020 1:18:00 AM","99931"
"6/8/2020 1:19:00 AM","99964"
"6/8/2020 1:20:00 AM","100297"
"6/8/2020 1:21:00 AM","100196"
"6/8/2020 1:22:00 AM","100147"
"6/8/2020 1:23:00 AM","100058"
"6/8/2020 1:24:00 AM","100291"
"6/8/2020 1:25:00 AM","100336"
"6/8/2020 1:26:00 AM","100460"
"6/8/2020 1:27:00 AM","100547"
"6/8/2020 1:28:00 AM","100566"
"6/8/2020 1:29:00 AM","100468"
"6/8/2020 1:30:00 AM","100473"
"6/8/2020 1:31:00 AM","100750"
"6/8/2020 1:32:00 AM","100420"
"6/8/2020 1:33:00 AM","100533"
"6/8/2020 1:34:00 AM","100727"
"6/8/2020 1:35:00 AM","101128"
"6/8/2020 1:36:00 AM","100986"
"6/8/2020 1:37:00 AM","100743"
"6/8/2020 1:38:00 AM","100703"
"6/8/2020 1:39:00 AM","100964"
"6/8/2020 1:40:00 AM","101347"
"6/8/2020 1:41:00 AM","101703"
"6/8/2020 1:42:00 AM","101795"
"6/8/2020 1:43:00 AM","101653"
"6/8/2020 1:44:00 AM","102016"
"6/8/2020 1:45:00 AM","102317"
